id,code,name,short_name,campus,address/street,address/city,address/province,address/country,address/postal,lat,lng,polygon/0/0,polygon/0/1,polygon/1/0,polygon/1/1,polygon/2/0,polygon/2/1,polygon/3/0,polygon/3/1,polygon/4/0,polygon/4/1,polygon/5/0,polygon/5/1,polygon/6/0,polygon/6/1,polygon/7/0,polygon/7/1,polygon/8/0,polygon/8/1,polygon/9/0,polygon/9/1,polygon/10/0,polygon/10/1,polygon/11/0,polygon/11/1,polygon/12/0,polygon/12/1,polygon/13/0,polygon/13/1,polygon/14/0,polygon/14/1,polygon/15/0,polygon/15/1,polygon/16/0,polygon/16/1,polygon/17/0,polygon/17/1,polygon/18/0,polygon/18/1,polygon/19/0,polygon/19/1,polygon/20/0,polygon/20/1,polygon/21/0,polygon/21/1,polygon/22/0,polygon/22/1,polygon/23/0,polygon/23/1,polygon/24/0,polygon/24/1,polygon/25/0,polygon/25/1,polygon/26/0,polygon/26/1,polygon/27/0,polygon/27/1,polygon/28/0,polygon/28/1,polygon/29/0,polygon/29/1,polygon/30/0,polygon/30/1,polygon/31/0,polygon/31/1,polygon/32/0,polygon/32/1,polygon/33/0,polygon/33/1,polygon/34/0,polygon/34/1,polygon/35/0,polygon/35/1,polygon/36/0,polygon/36/1,polygon/37/0,polygon/37/1,polygon/38/0,polygon/38/1,polygon/39/0,polygon/39/1,polygon/40/0,polygon/40/1,polygon/41/0,polygon/41/1,polygon/42/0,polygon/42/1,polygon/43/0,polygon/43/1,polygon/44/0,polygon/44/1,polygon/45/0,polygon/45/1,polygon/46/0,polygon/46/1,polygon/47/0,polygon/47/1,polygon/48/0,polygon/48/1,polygon/49/0,polygon/49/1,polygon/50/0,polygon/50/1,polygon/51/0,polygon/51/1,polygon/52/0,polygon/52/1,polygon/53/0,polygon/53/1,polygon/54/0,polygon/54/1,polygon/55/0,polygon/55/1,polygon/56/0,polygon/56/1,polygon/57/0,polygon/57/1,polygon/58/0,polygon/58/1,polygon/59/0,polygon/59/1,polygon/60/0,polygon/60/1,polygon/61/0,polygon/61/1,polygon/62/0,polygon/62/1,polygon/63/0,polygon/63/1,polygon/64/0,polygon/64/1,polygon/65/0,polygon/65/1,polygon/66/0,polygon/66/1,polygon/67/0,polygon/67/1,polygon/68/0,polygon/68/1,polygon/69/0,polygon/69/1,polygon/70/0,polygon/70/1,polygon/71/0,polygon/71/1,polygon/72/0,polygon/72/1,polygon/73/0,polygon/73/1,polygon/74/0,polygon/74/1,polygon/75/0,polygon/75/1,polygon/76/0,polygon/76/1,polygon/77/0,polygon/77/1,polygon/78/0,polygon/78/1,polygon/79/0,polygon/79/1,polygon/80/0,polygon/80/1,polygon/81/0,polygon/81/1,polygon/82/0,polygon/82/1,polygon/83/0,polygon/83/1,polygon/84/0,polygon/84/1,polygon/85/0,polygon/85/1,polygon/86/0,polygon/86/1,polygon/87/0,polygon/87/1,polygon/88/0,polygon/88/1,polygon/89/0,polygon/89/1,polygon/90/0,polygon/90/1,polygon/91/0,polygon/91/1,polygon/92/0,polygon/92/1,polygon/93/0,polygon/93/1,polygon/94/0,polygon/94/1,polygon/95/0,polygon/95/1,polygon/96/0,polygon/96/1,polygon/97/0,polygon/97/1,polygon/98/0,polygon/98/1,polygon/99/0,polygon/99/1,polygon/100/0,polygon/100/1,polygon/101/0,polygon/101/1,polygon/102/0,polygon/102/1,polygon/103/0,polygon/103/1,polygon/104/0,polygon/104/1,polygon/105/0,polygon/105/1,polygon/106/0,polygon/106/1,polygon/107/0,polygon/107/1,polygon/108/0,polygon/108/1,polygon/109/0,polygon/109/1,polygon/110/0,polygon/110/1,polygon/111/0,polygon/111/1,polygon/112/0,polygon/112/1,polygon/113/0,polygon/113/1,polygon/114/0,polygon/114/1,polygon/115/0,polygon/115/1,polygon/116/0,polygon/116/1,polygon/117/0,polygon/117/1,polygon/118/0,polygon/118/1,polygon/119/0,polygon/119/1,polygon/120/0,polygon/120/1,polygon/121/0,polygon/121/1,polygon/122/0,polygon/122/1,polygon/123/0,polygon/123/1,polygon/124/0,polygon/124/1,polygon/125/0,polygon/125/1,polygon/126/0,polygon/126/1,polygon/127/0,polygon/127/1,polygon/128/0,polygon/128/1,polygon/129/0,polygon/129/1,polygon/130/0,polygon/130/1,polygon/131/0,polygon/131/1,polygon/132/0,polygon/132/1,polygon/133/0,polygon/133/1,polygon/134/0,polygon/134/1,polygon/135/0,polygon/135/1,polygon/136/0,polygon/136/1,polygon/137/0,polygon/137/1,polygon/138/0,polygon/138/1,polygon/139/0,polygon/139/1,polygon/140/0,polygon/140/1,polygon/141/0,polygon/141/1,polygon/142/0,polygon/142/1,polygon/143/0,polygon/143/1,polygon/144/0,polygon/144/1,polygon/145/0,polygon/145/1
064,GD,Graduate House,Graduate Hse,UTSG,60 Harbord Street,Toronto,ON,Canada,M5S 1A1,43.663376525335316,-79.4016436568784,43.66387,-79.40174,43.66385,-79.40173,43.66388,-79.40157,43.66369,-79.4015,43.66368,-79.40153,43.66353,-79.40148,43.66354,-79.40145,43.66335,-79.40137,43.66333,-79.40152,43.66334,-79.40152,43.66332,-79.40162,43.6633,-79.40162,43.6633,-79.40171,43.66327,-79.40185,43.66339,-79.40189,43.66343,-79.4017,43.66345,-79.4017,43.66346,-79.40165,43.66344,-79.40164,43.66345,-79.40157,43.66375,-79.40169,43.6637,-79.40192,43.66351,-79.40185,43.66349,-79.40193,43.6638,-79.40206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065,DN,Dentistry Building,Dentistry,UTSG,124 Edward Street,Toronto,ON,Canada,M5G 1G6,43.65627448600932,-79.3871449760484,43.65658,-79.38713,43.6566,-79.38714,43.65655,-79.38735,43.65657,-79.38735,43.65649,-79.3877,43.65591,-79.38746,43.65598,-79.38713,43.65594,-79.38711,43.65607,-79.38656,43.65665,-79.38681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
066,XG,Spadina Avenue-665,Spadina-665,UTSG,665 Spadina Avenue,,ON,Canada,,43.66446,-79.40223,43.66435,-79.40234,43.66441,-79.40208,43.66446,-79.4021,43.66447,-79.40205,43.66451,-79.40206,43.66451,-79.40205,43.66459,-79.40208,43.66452,-79.40241,43.66435,-79.40234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
067,HU,Huron Street-215,Huron-215,UTSG,215 Huron Street,Toronto,ON,Canada,M5S 1A2,43.659297806582664,-79.3982372514295,43.65955,-79.39852,43.65964,-79.39809,43.65913,-79.39789,43.65906,-79.39823,43.65896,-79.3982,43.65895,-79.39828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068,BN,Clara Benson Building,Clara Benson,UTSG,320 Huron Street,Toronto,ON,Canada,M5S 3J7,43.662942859315585,-79.400203310637,43.66325,-79.40065,43.66336,-79.40009,43.66267,-79.39982,43.66255,-79.40037,43.66283,-79.40048,43.66288,-79.40045,43.66291,-79.40052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
068A,WS,Warren Stevens Building,Warren Stevn,UTSG,55 Harbord Street,Toronto,ON,Canada,M5S 2W6,43.66278666117544,-79.401021384387,43.66293,-79.40167,43.66294,-79.40162,43.66301,-79.40159,43.66302,-79.40153,43.66298,-79.40152,43.66302,-79.4013,43.66307,-79.40132,43.66313,-79.40103,43.66308,-79.40101,43.66313,-79.40079,43.66317,-79.40081,43.66318,-79.40077,43.66314,-79.40069,43.66315,-79.40062,43.66291,-79.40052,43.66288,-79.40045,43.66283,-79.40049,43.66261,-79.4004,43.6626,-79.40047,43.66254,-79.40051,43.66247,-79.40081,43.66252,-79.40094,43.66243,-79.40101,43.66237,-79.40132,43.6624,-79.4014,43.66239,-79.40146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070,GB,Galbraith Building,Galbraith,UTSG,35 St. George Street,Toronto,ON,Canada,M5S 1A4,43.65988139854955,-79.3961860320854,43.66009,-79.39643,43.66013,-79.39626,43.66018,-79.39627,43.66032,-79.39558,43.66029,-79.39557,43.6603,-79.39551,43.66015,-79.39545,43.66011,-79.39562,43.65992,-79.39555,43.65989,-79.39569,43.66008,-79.39577,43.66002,-79.39608,43.65995,-79.39605,43.65996,-79.39601,43.65989,-79.39598,43.65988,-79.39603,43.65982,-79.396,43.6599,-79.39561,43.65974,-79.39554,43.65973,-79.39559,43.65971,-79.39559,43.65958,-79.39623,43.65977,-79.3963,43.65978,-79.39627,43.65994,-79.39633,43.65993,-79.39637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071,OG,College Street-92,College-92,UTSG,92 College Street,Toronto,ON,Canada,M5S 1L5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072,RW,Ramsay Wright Laboratories,RamsayWright,UTSG,25 Harbord Street,Toronto,ON,Canada,M5S 3G5,43.66311506487241,-79.3989849171924,43.66362,-79.39894,43.66367,-79.39873,43.66366,-79.39853,43.66361,-79.39852,43.66357,-79.3985,43.66353,-79.39848,43.66349,-79.39846,43.6634,-79.39862,43.66339,-79.39867,43.66332,-79.39864,43.66338,-79.39837,43.6632,-79.3983,43.66317,-79.39846,43.66306,-79.39842,43.66297,-79.39888,43.66299,-79.39888,43.66295,-79.39907,43.66285,-79.39903,43.66276,-79.39947,43.66284,-79.3995,43.66283,-79.39957,43.6632,-79.39972,43.66322,-79.39962,43.66324,-79.39962,43.66325,-79.39959,43.66323,-79.39958,43.66325,-79.39948,43.66316,-79.39944,43.6633,-79.39874,43.66337,-79.39876,43.66335,-79.39884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073,LM,Lash Miller Chemical Laboratories,Lash Miller,UTSG,80 St. George Street,Toronto,ON,Canada,M5S 3H6,43.661397838050824,-79.3978127918529,43.66193,-79.39802,43.66194,-79.39795,43.66195,-79.39796,43.66199,-79.39777,43.66173,-79.39767,43.6617,-79.3978,43.66159,-79.39775,43.66161,-79.39765,43.66112,-79.39746,43.6611,-79.3976,43.66105,-79.39758,43.66102,-79.39775,43.66106,-79.39777,43.66103,-79.39789,43.66158,-79.39811,43.66139,-79.39899,43.66149,-79.39903,43.6615,-79.39899,43.66156,-79.39901,43.66172,-79.3982,43.66189,-79.39826,43.66194,-79.39802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
075,FC,Faculty Club,Faculty Club,UTSG,41 Willcocks Street,Toronto,ON,Canada,M5S 1C7,43.66115286242385,-79.4004889658975,43.66127,-79.40065,43.66096,-79.40053,43.66101,-79.40031,43.66132,-79.40044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
077,SC,Sussex Court,Sussex Court,UTSG,21 Sussex Avenue,Toronto,ON,Canada,M5S 1J6,43.66483612316502,-79.400894650011,43.66488,-79.40102,43.66489,-79.40097,43.6649,-79.40097,43.66491,-79.40094,43.66488,-79.40093,43.66488,-79.40089,43.66492,-79.4009,43.66492,-79.40087,43.66491,-79.40087,43.66493,-79.40082,43.66494,-79.40082,43.66496,-79.40071,43.66484,-79.40066,43.66475,-79.40109,43.66487,-79.40114,43.66489,-79.40103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
078,MP,McLennan Physical Laboratories,McLennan Lab,UTSG,255 Huron Street,Toronto,ON,Canada,M5S 1A7,43.660710933566016,-79.3982714495945,43.66119,-79.39884,43.66129,-79.39835,43.66081,-79.39816,43.66079,-79.39825,43.66074,-79.39823,43.66075,-79.3982,43.66071,-79.39818,43.6607,-79.39821,43.66066,-79.3982,43.66069,-79.39806,43.66065,-79.39804,43.66065,-79.39803,43.66054,-79.39798,43.66053,-79.39799,43.6605,-79.39798,43.6605,-79.39797,43.66039,-79.39792,43.66038,-79.39794,43.66035,-79.39792,43.6603,-79.39816,43.66049,-79.39824,43.66047,-79.39835,43.66041,-79.39833,43.66036,-79.39859,43.66055,-79.39867,43.66061,-79.3984,43.66056,-79.39838,43.66058,-79.39828,43.66068,-79.39832,43.66067,-79.39834,43.66072,-79.39836,43.66072,-79.39833,43.66076,-79.39835,43.6607,-79.39864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
079,AP,Anthropology Building,Anthropology,UTSG,19 Russell Street,Toronto,ON,Canada,M5S 2S2,43.65987169638199,-79.398449816494,43.65996,-79.39868,43.66003,-79.39832,43.65978,-79.39822,43.65976,-79.39831,43.65973,-79.3983,43.65971,-79.39836,43.65975,-79.39837,43.6597,-79.39857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080,BA,Bahen Centre for Information Technology,Bahen Centre,UTSG,40 St. George Street,Toronto,ON,Canada,M5S 2E4,43.65966794914353,-79.397374250679,43.6602,-79.39741,43.66022,-79.39733,43.66021,-79.39732,43.66025,-79.39714,43.6601,-79.39708,43.66007,-79.3972,43.66005,-79.39719,43.66003,-79.39727,43.65996,-79.39724,43.66002,-79.39694,43.65971,-79.39682,43.6597,-79.39689,43.65964,-79.39686,43.65951,-79.39747,43.6594,-79.39743,43.65943,-79.39726,43.65928,-79.39721,43.65926,-79.3973,43.6592,-79.39727,43.65916,-79.39738,43.65924,-79.39741,43.65916,-79.39781,43.65965,-79.39801,43.65981,-79.39725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082,GA,Gage Building,Gage Bldg,UTSG,223 College Street,Toronto,ON,Canada,M5T 1R4,43.65819609756056,-79.3970939598369,43.65826,-79.39722,43.6583,-79.39704,43.65812,-79.39697,43.65809,-79.39715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
083,RM,McCaul Street-254/256,McCaul-254/6,UTSG,254-256 McCaul Street,Toronto,ON,Canada,M5T 1W5,43.65857109807999,-79.3936037353563,43.65861,-79.39386,43.65858,-79.39385,43.65857,-79.39388,43.65845,-79.39384,43.65852,-79.39347,43.6585,-79.39346,43.6585,-79.39349,43.65847,-79.39348,43.65849,-79.39336,43.65852,-79.39338,43.65852,-79.39339,43.65854,-79.3934,43.65854,-79.39338,43.65857,-79.3934,43.65857,-79.39341,43.6586,-79.39342,43.6586,-79.3934,43.65869,-79.39344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
085,CX,College Street - 245,College St-245,UTSG,245 College Street,Toronto,ON,Canada,,43.65893,-79.39355,43.65909,-79.39374,43.65912,-79.3936,43.65878,-79.39347,43.65875,-79.39361,43.65909,-79.39374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
087,CE,Centre for Engineering Innovation and Entrepreneurship (Under Construction),,UTSG,55 St. George Street,Toronto,ON,Canada,,43.66079,-79.39657,43.66052,-79.3964,43.66054,-79.39629,43.66038,-79.39623,43.66035,-79.39634,43.66052,-79.3964,43.66065,-79.39624,43.66062,-79.39639,43.66059,-79.39638,43.66055,-79.39659,43.66058,-79.3966,43.66055,-79.39676,43.66092,-79.3969,43.66103,-79.39639,43.66065,-79.39624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
088,WA,St. George Street123,StGeorge-123,UTSG,123 St. George Street,Toronto,ON,Canada,M5S 2E8,43.666900551888155,-79.3992115638542,43.66696,-79.39916,43.66698,-79.39911,43.66693,-79.39909,43.66692,-79.39915,43.66687,-79.39913,43.66686,-79.39916,43.66684,-79.39915,43.66682,-79.39922,43.66681,-79.39922,43.6668,-79.39923,43.6668,-79.39925,43.66681,-79.39926,43.66694,-79.39931,43.66697,-79.39917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
089,MK,Munk School of Global Affairs at the Observatory,Munk-Observ,UTSG,315 Bloor Street West,Toronto,ON,Canada,M5S 1A3,43.66747000352004,-79.398519553928,43.6675,-79.39871,43.66757,-79.39839,43.66753,-79.39837,43.66753,-79.39835,43.66753,-79.39833,43.66751,-79.39831,43.66749,-79.39831,43.66748,-79.39832,43.66747,-79.39833,43.66747,-79.39835,43.66743,-79.39833,43.66736,-79.39865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090,ZC,College Street-88,College-88,UTSG,88 College Street,Toronto,ON,Canada,M5G 1L4,43.66077157160064,-79.3878436914968,43.66093,-79.38805,43.66076,-79.38798,43.66077,-79.38794,43.6606,-79.38787,43.66061,-79.38783,43.66059,-79.38783,43.66061,-79.38773,43.66063,-79.38774,43.66064,-79.38771,43.66078,-79.38776,43.66079,-79.38773,43.66098,-79.38781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
091,GM,Luella Massey Studio Theatre,Studio Thtre,UTSG,4 Glen Morris Street,Toronto,ON,Canada,M5S 1J1,43.664349109423604,-79.4010730169105,43.66445,-79.40105,43.66427,-79.40098,43.66425,-79.40109,43.66443,-79.40117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
